RDF Type	Class type	Parent	ID	See Also	Label	Part1	Part2L	Part2B	Part3	Scope	Type	Comment	Definition	Editors Note	Citation
owl:Class	subclass	lang:0000001	lang:1003325		Kunimaipa				kup	I	L		Kunimaipa language		
owl:Class	subclass	lang:0000001	lang:1003326		Karipuna				kuq	I	L		Karipuna language		
owl:Class	subclass	lang:0000001	lang:1003327		Kurdish	ku	kur	kur	kur	M	L		Kurdish language		
owl:Class	subclass	lang:0000001	lang:1003328		Kusaal				kus	I	L		Kusaal language		
owl:Class	subclass	lang:0000001	lang:1003329		Kutenai		kut	kut	kut	I	L		Kutenai language		
owl:Class	subclass	lang:0000001	lang:1003330		Upper Kuskokwim				kuu	I	L		Upper Kuskokwim language		
owl:Class	subclass	lang:0000001	lang:1003331		Kur				kuv	I	L		Kur language		
owl:Class	subclass	lang:0000001	lang:1003332		Kpagua				kuw	I	L		Kpagua language		
owl:Class	subclass	lang:0000001	lang:1003333		Kukatja				kux	I	L		Kukatja language		
owl:Class	subclass	lang:0000001	lang:1003334		Kuuku-Ya'u				kuy	I	L		Kuuku-Ya'u language		
owl:Class	subclass	lang:0000001	lang:1003335		Kunza				kuz	I	E		Kunza language		
owl:Class	subclass	lang:0000001	lang:1003336		Bagvalal				kva	I	L		Bagvalal language		
owl:Class	subclass	lang:0000001	lang:1003337		Kubu				kvb	I	L		Kubu language		
owl:Class	subclass	lang:0000001	lang:1003338		Kove				kvc	I	L		Kove language		
owl:Class	subclass	lang:0000001	lang:1003339		Kui (Indonesia)				kvd	I	L		Kui (Indonesia) language		
owl:Class	subclass	lang:0000001	lang:1003340		Kalabakan				kve	I	L		Kalabakan language		
owl:Class	subclass	lang:0000001	lang:1003341		Kabalai				kvf	I	L		Kabalai language		
owl:Class	subclass	lang:0000001	lang:1003342		Kuni-Boazi				kvg	I	L		Kuni-Boazi language		
owl:Class	subclass	lang:0000001	lang:1003343		Komodo				kvh	I	L		Komodo language		
owl:Class	subclass	lang:0000001	lang:1003344		Kwang				kvi	I	L		Kwang language		
owl:Class	subclass	lang:0000001	lang:1003345		Psikye				kvj	I	L		Psikye language		
owl:Class	subclass	lang:0000001	lang:1003346		Korean Sign Language				kvk	I	L		Korean Sign Language language		
owl:Class	subclass	lang:0000001	lang:1003347		Kayaw				kvl	I	L		Kayaw language		
owl:Class	subclass	lang:0000001	lang:1003348		Kendem				kvm	I	L		Kendem language		
owl:Class	subclass	lang:0000001	lang:1003349		Border Kuna				kvn	I	L		Border Kuna language		
owl:Class	subclass	lang:0000001	lang:1003350		Dobel				kvo	I	L		Dobel language		
owl:Class	subclass	lang:0000001	lang:1003351		Kompane				kvp	I	L		Kompane language		
owl:Class	subclass	lang:0000001	lang:1003352		Geba Karen				kvq	I	L		Geba Karen language		
owl:Class	subclass	lang:0000001	lang:1003353		Kerinci				kvr	I	L		Kerinci language		
owl:Class	subclass	lang:0000001	lang:1003354		Lahta Karen				kvt	I	L		Lahta Karen language		
owl:Class	subclass	lang:0000001	lang:1003355		Yinbaw Karen				kvu	I	L		Yinbaw Karen language		
owl:Class	subclass	lang:0000001	lang:1003356		Kola				kvv	I	L		Kola language		
owl:Class	subclass	lang:0000001	lang:1003357		Wersing				kvw	I	L		Wersing language		
owl:Class	subclass	lang:0000001	lang:1003358		Parkari Koli				kvx	I	L		Parkari Koli language		
owl:Class	subclass	lang:0000001	lang:1003359		Yintale Karen				kvy	I	L		Yintale Karen language		
owl:Class	subclass	lang:0000001	lang:1003360		Tsakwambo				kvz	I	L		Tsakwambo language		
owl:Class	subclass	lang:0000001	lang:1003361		Dâw				kwa	I	L		Dâw language		
owl:Class	subclass	lang:0000001	lang:1003362		Kwa				kwb	I	L		Kwa language		
owl:Class	subclass	lang:0000001	lang:1003363		Likwala				kwc	I	L		Likwala language		
owl:Class	subclass	lang:0000001	lang:1003364		Kwaio				kwd	I	L		Kwaio language		
owl:Class	subclass	lang:0000001	lang:1003365		Kwerba				kwe	I	L		Kwerba language		
owl:Class	subclass	lang:0000001	lang:1003366		Kwara'ae				kwf	I	L		Kwara'ae language		
owl:Class	subclass	lang:0000001	lang:1003367		Sara Kaba Deme				kwg	I	L		Sara Kaba Deme language		
owl:Class	subclass	lang:0000001	lang:1003368		Kowiai				kwh	I	L		Kowiai language		
owl:Class	subclass	lang:0000001	lang:1003369		Awa-Cuaiquer				kwi	I	L		Awa-Cuaiquer language		
owl:Class	subclass	lang:0000001	lang:1003370		Kwanga				kwj	I	L		Kwanga language		
owl:Class	subclass	lang:0000001	lang:1003371		Kwakiutl				kwk	I	L		Kwakiutl language		
owl:Class	subclass	lang:0000001	lang:1003372		Kofyar				kwl	I	L		Kofyar language		
owl:Class	subclass	lang:0000001	lang:1003373		Kwambi				kwm	I	L		Kwambi language		
owl:Class	subclass	lang:0000001	lang:1003374		Kwangali				kwn	I	L		Kwangali language		
owl:Class	subclass	lang:0000001	lang:1003375		Kwomtari				kwo	I	L		Kwomtari language		
owl:Class	subclass	lang:0000001	lang:1003376		Kodia				kwp	I	L		Kodia language		
owl:Class	subclass	lang:0000001	lang:1003377		Kwer				kwr	I	L		Kwer language		
owl:Class	subclass	lang:0000001	lang:1003378		Kwese				kws	I	L		Kwese language		
owl:Class	subclass	lang:0000001	lang:1003379		Kwesten				kwt	I	L		Kwesten language		
owl:Class	subclass	lang:0000001	lang:1003380		Kwakum				kwu	I	L		Kwakum language		
owl:Class	subclass	lang:0000001	lang:1003381		Sara Kaba Náà				kwv	I	L		Sara Kaba Náà language		
owl:Class	subclass	lang:0000001	lang:1003382		Kwinti				kww	I	L		Kwinti language		
owl:Class	subclass	lang:0000001	lang:1003383		Khirwar				kwx	I	L		Khirwar language		
owl:Class	subclass	lang:0000001	lang:1003384		San Salvador Kongo				kwy	I	L		San Salvador Kongo language		
owl:Class	subclass	lang:0000001	lang:1003385		Kwadi				kwz	I	E		Kwadi language		
