RDF Type	Class type	Parent	ID	See Also	Label	Label	Label	Label	Label	Part1	Part2L	Part2B	Part3	Comment	Definition	Editors Note	Citation
TYPE	CLASS_TYPE	CI	ID	AI rdfs:seeAlso	AL rdfs:label@en	AL rdfs:label@es	AL rdfs:label@fr	AL rdfs:label@de	AL rdfs:label@it	A LANG:0000002	A LANG:0000003	A LANG:0000004	A  LANG:0000005	A  LANG:0000006	AL IAO:0000115@en	AL IAO:0000116@en	AL IAO:0000119@en
owl:Class		BFO:0000031	LANG:0000001		Language	idioma	la langue	Sprache	linguaggio						"the words, their pronunciation, and the methods of combining them used and understood by a community"		Merriam-Webster https://www.merriam-webster.com/dictionary/languageowl:Class	subclass	LANG:0000001	LANG:10000001		Alumu-Tesu							aab		Alumu-Tesu language		
owl:Class	subclass	LANG:0000001	LANG:10000162		Ainu (China)							aib		Ainu (China) language		
owl:Class	subclass	LANG:0000001	LANG:10000163		Ainbai							aic		Ainbai language		
owl:Class	subclass	LANG:0000001	LANG:10000164		Alngith							aid		Alngith language		
owl:Class	subclass	LANG:0000001	LANG:10000165		Amara							aie		Amara language		
owl:Class	subclass	LANG:0000001	LANG:10000166		Agi							aif		Agi language		
owl:Class	subclass	LANG:0000001	LANG:10000167		Antigua and Barbuda Creole English							aig		Antigua and Barbuda Creole English language		
owl:Class	subclass	LANG:0000001	LANG:10000168		Ai-Cham							aih		Ai-Cham language		
owl:Class	subclass	LANG:0000001	LANG:10000169		Assyrian Neo-Aramaic							aii		Assyrian Neo-Aramaic language		
owl:Class	subclass	LANG:0000001	LANG:10000170		Lishanid Noshan							aij		Lishanid Noshan language		
owl:Class	subclass	LANG:0000001	LANG:10000171		Ake							aik		Ake language		
owl:Class	subclass	LANG:0000001	LANG:10000172		Aimele							ail		Aimele language		
owl:Class	subclass	LANG:0000001	LANG:10000173		Aimol							aim		Aimol language		
owl:Class	subclass	LANG:0000001	LANG:10000174		Ainu (Japan)					ain	ain	ain		Ainu (Japan) language		
owl:Class	subclass	LANG:0000001	LANG:10000175		Aiton							aio		Aiton language		
owl:Class	subclass	LANG:0000001	LANG:10000176		Burumakok							aip		Burumakok language		
owl:Class	subclass	LANG:0000001	LANG:10000177		Aimaq							aiq		Aimaq language		
owl:Class	subclass	LANG:0000001	LANG:10000178		Airoran							air		Airoran language		
owl:Class	subclass	LANG:0000001	LANG:10000179		Arikem							ait		Arikem language		
owl:Class	subclass	LANG:0000001	LANG:10000180		Aari							aiw		Aari language		
owl:Class	subclass	LANG:0000001	LANG:10000181		Aighon							aix		Aighon language		
owl:Class	subclass	LANG:0000001	LANG:10000182		Ali							aiy		Ali language		
owl:Class	subclass	LANG:0000001	LANG:10000183		Aja (South Sudan)							aja		Aja (South Sudan) language		
owl:Class	subclass	LANG:0000001	LANG:10000184		Aja (Benin)							ajg		Aja (Benin) language		
